factor,view,base,family
px_sma_4,raw,px_sma_4,trend
csz_macd_3_13,cross-sectional zscore,macd_3_13,momentum/trend
csz_px_sma_4,cross-sectional zscore,px_sma_4,trend
csr_cpos,cross-sectional rank,cpos,candle-geom
macd_3_13,raw,macd_3_13,momentum/trend
csz_macd_5_21,cross-sectional zscore,macd_5_21,momentum/trend
drawup_4,raw,drawup_4,range
tsz_bop,time-series zscore,bop,candle-geom
macd_5_21,raw,macd_5_21,momentum/trend
csr_bop,cross-sectional rank,bop,candle-geom
tsz_cpos,time-series zscore,cpos,candle-geom
drawup_6,raw,drawup_6,range
csz_willr_4,cross-sectional zscore,willr_4,oscillator
csr_bollz_4,cross-sectional rank,bollz_4,oscillator/mean-rev
csz_mom_2,cross-sectional zscore,mom_2,momentum
csr_stoch_dev_8,cross-sectional rank,stoch_dev_8,oscillator
px_sma_8,raw,px_sma_8,trend
csz_drawup_4,cross-sectional zscore,drawup_4,range
mom_2,raw,mom_2,momentum
csr_bollz_6,cross-sectional rank,bollz_6,oscillator/mean-rev
csr_stoch_dev_13,cross-sectional rank,stoch_dev_13,oscillator
csz_macd_8_34,cross-sectional zscore,macd_8_34,momentum/trend
tsz_bollz_4,time-series zscore,bollz_4,oscillator/mean-rev
csz_stoch_dev_4,cross-sectional zscore,stoch_dev_4,oscillator
dual_thrust_pos_4,raw,dual_thrust_pos_4,other
mom_5,raw,mom_5,momentum
maxret_2,raw,maxret_2,other
csz_drawdn_4,cross-sectional zscore,drawdn_4,range
csr_stoch_dev_16,cross-sectional rank,stoch_dev_16,oscillator
tsz_stoch_dev_4,time-series zscore,stoch_dev_4,oscillator
csz_px_sma_8,cross-sectional zscore,px_sma_8,trend
mom_4,raw,mom_4,momentum
csz_stoch_dev_10,cross-sectional zscore,stoch_dev_10,oscillator
tsz_stoch_dev_8,time-series zscore,stoch_dev_8,oscillator
csz_willr_6,cross-sectional zscore,willr_6,oscillator
mom_3,raw,mom_3,momentum
tsz_stoch_dev_13,time-series zscore,stoch_dev_13,oscillator
csr_drawup_4,cross-sectional rank,drawup_4,range
csr_drawdn_4,cross-sectional rank,drawdn_4,range
drawup_8,raw,drawup_8,range
csz_mom_3,cross-sectional zscore,mom_3,momentum
